,hle-id,type,segment,activity,value,window
0,0,enter,"('mail valid', 'mail income')","('enter', ('mail valid', 'mail income'))",269,73
1,1,enter,"('mail income', 'mail valid')","('enter', ('mail income', 'mail valid'))",425,76
2,2,enter,"('mail valid', 'mail income')","('enter', ('mail valid', 'mail income'))",245,76
3,3,enter,"('mail income', 'mail valid')","('enter', ('mail income', 'mail valid'))",434,78
4,4,enter,"('mail income', 'mail valid')","('enter', ('mail income', 'mail valid'))",598,83
5,5,enter,"('mail valid', 'initialize')","('enter', ('mail valid', 'initialize'))",695,83
6,6,exit,"('mail income', 'mail valid')","('exit', ('mail income', 'mail valid'))",615,83
7,7,workload,"('mail income', 'mail valid')","('workload', ('mail income', 'mail valid'))",615.0,83
8,8,enter,"('mail income', 'mail valid')","('enter', ('mail income', 'mail valid'))",711,84
9,9,enter,"('mail valid', 'initialize')","('enter', ('mail valid', 'initialize'))",540,84
10,10,exit,"('mail income', 'mail valid')","('exit', ('mail income', 'mail valid'))",440,84
11,11,workload,"('mail income', 'mail valid')","('workload', ('mail income', 'mail valid'))",440.0,84
12,12,enter,"('mail income', 'mail valid')","('enter', ('mail income', 'mail valid'))",710,85
13,13,enter,"('mail valid', 'initialize')","('enter', ('mail valid', 'initialize'))",1019,85
14,14,enter,"('mail valid', 'mail income')","('enter', ('mail valid', 'mail income'))",212,85
15,15,enter,"('mail income', 'initialize')","('enter', ('mail income', 'initialize'))",196,85
16,16,exit,"('mail income', 'mail valid')","('exit', ('mail income', 'mail valid'))",880,85
17,17,workload,"('mail income', 'mail valid')","('workload', ('mail income', 'mail valid'))",880.0,85
18,18,enter,"('mail income', 'mail valid')","('enter', ('mail income', 'mail valid'))",754,86
19,19,enter,"('mail valid', 'initialize')","('enter', ('mail valid', 'initialize'))",771,86
20,20,enter,"('mail income', 'initialize')","('enter', ('mail income', 'initialize'))",248,86
21,21,exit,"('mail income', 'mail valid')","('exit', ('mail income', 'mail valid'))",598,86
22,22,workload,"('mail income', 'mail valid')","('workload', ('mail income', 'mail valid'))",598.0,86
23,23,enter,"('mail income', 'mail valid')","('enter', ('mail income', 'mail valid'))",478,87
24,24,enter,"('mail valid', 'initialize')","('enter', ('mail valid', 'initialize'))",1418,87
25,25,enter,"('mail valid', 'mail income')","('enter', ('mail valid', 'mail income'))",275,87
26,26,enter,"('mail income', 'initialize')","('enter', ('mail income', 'initialize'))",262,87
27,27,exit,"('mail income', 'mail valid')","('exit', ('mail income', 'mail valid'))",1229,87
28,28,workload,"('mail income', 'mail valid')","('workload', ('mail income', 'mail valid'))",1229.0,87
29,29,enter,"('mail valid', 'initialize')","('enter', ('mail valid', 'initialize'))",3175,91
30,30,enter,"('mail valid', 'mail income')","('enter', ('mail valid', 'mail income'))",547,91
31,31,enter,"('mail income', 'initialize')","('enter', ('mail income', 'initialize'))",409,91
32,32,exit,"('mail income', 'mail valid')","('exit', ('mail income', 'mail valid'))",2863,91
33,33,workload,"('mail income', 'mail valid')","('workload', ('mail income', 'mail valid'))",2863.0,91
34,34,exit,"('mail valid', 'mail income')","('exit', ('mail valid', 'mail income'))",157,105
35,35,workload,"('mail valid', 'mail income')","('workload', ('mail valid', 'mail income'))",157.0,105
36,36,enter,"('mail income', 'initialize')","('enter', ('mail income', 'initialize'))",206,118
37,37,exit,"('mail valid', 'mail income')","('exit', ('mail valid', 'mail income'))",210,118
38,38,workload,"('mail valid', 'mail income')","('workload', ('mail valid', 'mail income'))",210.0,118
39,39,exit,"('mail valid', 'mail income')","('exit', ('mail valid', 'mail income'))",141,119
40,40,workload,"('mail valid', 'mail income')","('workload', ('mail valid', 'mail income'))",141.0,119
41,41,enter,"('mail income', 'initialize')","('enter', ('mail income', 'initialize'))",163,120
42,42,exit,"('mail valid', 'mail income')","('exit', ('mail valid', 'mail income'))",163,120
43,43,workload,"('mail valid', 'mail income')","('workload', ('mail valid', 'mail income'))",163.0,120
