Length,Frequency,Path,Part&4e,Part&e7,Part&6b,Part&d4,NonPart&4e,NonPart&e7,NonPart&6b,NonPart&d4,p_value
8,12,"(('enter', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",2441,2189,2063,0,414,136,340,26,0.0
7,12,"(('enter', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",2436,2189,2063,0,420,138,352,27,0.0
6,10,"(('enter', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",2708,3059,2086,0,568,260,478,1011,0.0
5,10,"(('enter', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",2698,3056,2086,0,603,266,507,1020,0.0
6,10,"(('enter', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",2436,2189,2063,0,510,194,428,196,0.0
7,10,"(('enter', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",2441,2189,2063,0,496,192,403,193,0.0
1,22,"(('enter', ('begin editing', 'calculate')),)",329,1678,406,422,4202,2696,3324,1488,0.0
6,15,"(('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('exit', ('begin editing', 'calculate')), ('workload', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",2705,3054,2094,1296,400,273,171,76,0.0
1,15,"(('enter', ('finish editing', 'calculate')),)",920,2136,572,536,487,167,685,169,0.0
1,26,"(('enter', ('finish editing', 'begin editing')),)",458,427,375,1184,3779,3718,3029,591,0.0
1,18,"(('exit', ('finish editing', 'begin editing')),)",321,366,258,333,3916,3779,3146,1442,0.0
1,26,"(('exit', ('finish editing', 'save')),)",630,534,592,413,369,509,263,415,0.0
1,15,"(('handover', ('finish editing', 'begin editing')),)",314,290,219,284,3923,3856,3184,1491,0.0
1,32,"(('workload', ('save', 'save')),)",469,532,178,272,721,896,755,540,0.0
1,20,"(('enter', ('begin editing', 'save')),)",933,544,624,571,754,1219,800,370,0.0
1,25,"(('enter', ('finish editing', 'save')),)",686,567,567,609,313,476,288,219,0.0
1,19,"(('exit', ('begin editing', 'calculate')),)",271,1290,340,296,4260,3084,3390,1614,0.0
1,21,"(('workload', ('calculate', 'calculate')),)",2219,1568,1883,962,2306,2791,1847,941,0.0
1,14,"(('exit', ('finish editing', 'calculate')),)",1365,1989,1214,636,42,314,43,69,0.0
1,15,"(('workload', ('calculate', 'finish editing')),)",906,338,726,371,3625,4036,3004,1539,0.0
2,10,"(('exit', ('begin editing', 'save')), ('workload', ('save', 'finish editing')))",276,675,170,116,481,525,388,137,0.0
1,14,"(('enter', ('save', 'calculate')),)",743,790,965,454,1540,1253,855,790,0.0
1,10,"(('workload', ('finish editing', 'decide')),)",0,188,1,0,4531,4186,3729,1910,0.0
1,33,"(('workload', ('begin editing', 'save')),)",1081,1293,787,501,561,442,637,328,0.0
1,10,"(('exit', ('initialize', 'begin editing')),)",60,108,22,188,4471,4266,3708,1722,0.0
1,12,"(('exit', ('calculate', 'calculate')),)",106,116,215,42,4419,4243,3515,1861,0.0
1,22,"(('exit', ('begin editing', 'save')),)",871,544,697,431,771,1191,727,398,0.0
1,15,"(('handover', ('save', 'save')),)",15,83,142,40,1175,1345,791,772,0.0
1,17,"(('workload', ('calculate', 'save')),)",368,98,216,29,1194,1426,978,675,0.0
1,31,"(('workload', ('insert document', 'save')),)",227,350,194,217,819,536,732,601,0.0
1,18,"(('enter', ('calculate', 'save')),)",1239,1125,1071,547,323,399,123,157,0.0
