Length,Frequency,Path,Part_in_d4,NonPart_in_d4,Total_in_d4,Participation_Rate_d4_%,Part_in_Others,NonPart_in_Others,Total_in_Others,Participation_Rate_Others_%,p_value
8,12,"(('enter', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",0,26,1910,0.0,6693,890,12635,52.97,0.0
7,12,"(('enter', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",0,27,1910,0.0,6688,910,12635,52.93,0.0
6,10,"(('enter', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",0,1011,1910,0.0,7853,1306,12635,62.15,0.0
5,10,"(('enter', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",0,1020,1910,0.0,7840,1376,12635,62.05,0.0
6,10,"(('enter', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",0,196,1910,0.0,6688,1132,12635,52.93,0.0
7,10,"(('enter', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",0,193,1910,0.0,6693,1091,12635,52.97,0.0
1,26,"(('enter', ('finish editing', 'begin editing')),)",1184,591,1910,61.99,1260,10526,12635,9.97,0.0
1,18,"(('exit', ('finish editing', 'begin editing')),)",333,1442,1910,17.43,945,10841,12635,7.48,0.0
1,10,"(('exit', ('initialize', 'begin editing')),)",188,1722,1910,9.84,190,12445,12635,1.5,0.0
2,16,"(('enter', ('calculate', 'calculate')), ('batch', ('calculate', 'calculate')))",1834,34,1910,96.02,12595,10,12635,99.68,0.0
1,15,"(('handover', ('finish editing', 'begin editing')),)",284,1491,1910,14.87,823,10963,12635,6.51,0.0
1,20,"(('enter', ('begin editing', 'save')),)",571,370,1910,29.9,2101,2773,12635,16.63,0.0
1,21,"(('delay', ('finish editing', 'initialize')),)",1287,528,1910,67.38,9994,1798,12635,79.1,0.0
1,21,"(('batch', ('mail valid', 'initialize')),)",713,743,1910,37.33,7753,2074,12635,61.36,0.0
1,26,"(('batch', ('mail income', 'initialize')),)",76,436,1910,3.98,2268,1186,12635,17.95,0.0
1,22,"(('batch', ('finish editing', 'initialize')),)",1519,296,1910,79.53,11040,814,12635,87.38,0.0
1,23,"(('delay', ('mail income', 'initialize')),)",2,454,1910,0.1,475,2733,12635,3.76,0.0
1,11,"(('batch', ('initialize', 'begin editing')),)",1593,317,1910,83.4,12541,94,12635,99.26,0.0
1,10,"(('delay', ('begin editing', 'save')),)",205,711,1910,10.73,22,4791,12635,0.17,0.0
1,34,"(('batch', ('calculate', 'calculate')),)",1874,29,1910,98.12,12602,12,12635,99.74,0.0
1,11,"(('delay', ('begin editing', 'calculate')),)",166,1744,1910,8.69,472,12163,12635,3.74,0.0
1,19,"(('batch', ('finish editing', 'calculate')),)",341,364,1910,17.85,3469,1498,12635,27.46,0.0
1,12,"(('batch', ('begin editing', 'calculate')),)",96,1814,1910,5.03,1605,11030,12635,12.7,0.0
1,20,"(('batch', ('begin editing', 'save')),)",193,718,1910,10.1,390,4471,12635,3.09,0.0
1,10,"(('delay', ('finish editing', 'save')),)",205,623,1910,10.73,22,2875,12635,0.17,0.0
1,24,"(('batch', ('calculate', 'save')),)",490,214,1910,25.65,2261,2019,12635,17.89,1.1102230246251565e-16
1,17,"(('workload', ('calculate', 'save')),)",29,675,1910,1.52,682,3598,12635,5.4,1.1102230246251565e-16
1,26,"(('delay', ('mail income', 'mail valid')),)",11,1445,1910,0.58,582,9241,12635,4.61,1.1102230246251565e-16
1,12,"(('batch', ('calculate', 'begin editing')),)",240,316,1910,12.57,2457,1527,12635,19.45,1.1102230246251565e-16
5,10,"(('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",1612,14,1910,84.4,11178,5,12635,88.47,1.3322676295501878e-15
6,13,"(('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",1612,14,1910,84.4,11178,5,12635,88.47,1.3322676295501878e-15
1,30,"(('workload', ('save', 'calculate')),)",556,688,1910,29.11,2061,4085,12635,16.31,6.09512440519211e-14
2,12,"(('enter', ('begin editing', 'insert document')), ('exit', ('insert document', 'save')))",229,220,1910,11.99,524,1107,12635,4.15,1.7141843500212417e-13
1,32,"(('batch', ('finish editing', 'save')),)",251,577,1910,13.14,540,2357,12635,4.27,4.368727601899991e-13
5,14,"(('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('workload', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",1606,21,1910,84.08,11079,21,12635,87.69,4.651834473179406e-13
5,14,"(('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('exit', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",1606,21,1910,84.08,11079,21,12635,87.69,4.651834473179406e-13
1,16,"(('workload', ('begin editing', 'insert document')),)",193,286,1910,10.1,454,1347,12635,3.59,7.602551921337408e-11
1,41,"(('batch', ('save', 'begin editing')),)",379,213,1910,19.84,795,841,12635,6.29,1.179987219046552e-10
1,16,"(('handover', ('finish editing', 'save')),)",49,779,1910,2.57,405,2492,12635,3.21,4.009975684837741e-10
4,10,"(('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('exit', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",1606,23,1910,84.08,11079,34,12635,87.69,4.1915493298461115e-10
4,10,"(('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('workload', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",1606,23,1910,84.08,11079,34,12635,87.69,4.1915493298461115e-10
3,14,"(('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",1647,52,1910,86.23,11305,136,12635,89.47,1.3386167729834142e-09
1,25,"(('enter', ('finish editing', 'save')),)",609,219,1910,31.88,1820,1077,12635,14.4,1.0967891594937385e-08
1,26,"(('exit', ('finish editing', 'save')),)",413,415,1910,21.62,1756,1141,12635,13.9,3.3197958049235865e-08
1,14,"(('handover', ('save', 'begin editing')),)",411,181,1910,21.52,921,708,12635,7.29,4.224521810147763e-08
1,31,"(('enter', ('insert document', 'save')),)",560,258,1910,29.32,1653,1205,12635,13.08,4.4361904261158713e-08
1,31,"(('exit', ('insert document', 'save')),)",559,259,1910,29.27,1651,1207,12635,13.07,5.21760521454695e-08
1,10,"(('workload', ('finish editing', 'decide')),)",0,1910,1910,0.0,189,12446,12635,1.5,7.439452864854701e-08
3,10,"(('enter', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",1650,44,1910,86.39,11281,123,12635,89.28,2.0031309777568396e-07
6,15,"(('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('exit', ('begin editing', 'calculate')), ('workload', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",1296,76,1910,67.85,7853,844,12635,62.15,6.482271248664517e-07
1,21,"(('workload', ('calculate', 'calculate')),)",962,941,1910,50.37,5670,6944,12635,44.88,4.812698706557761e-06
1,24,"(('workload', ('begin editing', 'calculate')),)",1730,180,1910,90.58,11801,834,12635,93.4,6.304547614632838e-06
1,22,"(('exit', ('begin editing', 'save')),)",431,398,1910,22.57,2112,2689,12635,16.72,1.9212479117181047e-05
1,15,"(('workload', ('calculate', 'finish editing')),)",371,1539,1910,19.42,1970,10665,12635,15.59,2.15649949245611e-05
6,11,"(('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('exit', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",1285,87,1910,67.28,7853,844,12635,62.15,6.41568905320744e-05
6,11,"(('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('workload', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",1285,87,1910,67.28,7853,844,12635,62.15,6.41568905320744e-05
7,10,"(('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",1286,85,1910,67.33,7857,823,12635,62.18,8.178940276337698e-05
2,10,"(('enter', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",1647,61,1910,86.23,11306,240,12635,89.48,0.0001110365654254375
1,11,"(('handover', ('calculate', 'calculate')),)",52,1851,1910,2.72,589,12025,12635,4.66,0.00012618783110629472
1,27,"(('exit', ('save', 'calculate')),)",969,275,1910,50.73,4468,1678,12635,35.36,0.00015041117676528604
1,24,"(('exit', ('save', 'begin editing')),)",485,107,1910,25.39,1210,419,12635,9.58,0.00017820023740544588
2,10,"(('enter', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",1639,97,1910,85.81,11145,439,12635,88.21,0.0003785236101794265
1,20,"(('exit', ('save', 'save')),)",312,500,1910,16.34,1602,1949,12635,12.68,0.0005281914414834166
1,58,"(('batch', ('finish editing', 'begin editing')),)",1711,64,1910,89.58,11512,273,12635,91.11,0.0011441509423512075
7,13,"(('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('exit', ('begin editing', 'calculate')), ('workload', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",1097,136,1910,57.43,6549,1102,12635,51.83,0.0015027661678147508
1,22,"(('enter', ('begin editing', 'calculate')),)",422,1488,1910,22.09,2413,10222,12635,19.1,0.002061677592750666
1,33,"(('workload', ('begin editing', 'save')),)",501,328,1910,26.23,3161,1640,12635,25.02,0.002573928625469568
1,65,"(('batch', ('save', 'save')),)",201,611,1910,10.52,1067,2484,12635,8.44,0.002722318794093459
2,19,"(('enter', ('save', 'save')), ('exit', ('save', 'save')))",296,246,1910,15.5,1425,889,12635,11.28,0.002841757185241267
1,12,"(('exit', ('calculate', 'calculate')),)",42,1861,1910,2.2,437,12177,12635,3.46,0.00420496078257282
1,26,"(('enter', ('save', 'begin editing')),)",451,141,1910,23.61,1142,487,12635,9.04,0.004917642580260617
1,14,"(('enter', ('save', 'calculate')),)",454,790,1910,23.77,2498,3648,12635,19.77,0.0064339460528658465
1,16,"(('exit', ('finish editing', 'decide')),)",69,1841,1910,3.61,636,11999,12635,5.03,0.007031569792521841
5,11,"(('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('exit', ('begin editing', 'calculate')), ('workload', ('calculate', 'finish editing')), ('batch', ('finish editing', 'begin editing')))",1412,31,1910,73.93,8890,114,12635,70.36,0.007830211840051726
